Age,YearsExperience,EducationLevel,JobRole,Gender,ExperienceRatio,CareerScore,Salary
42,11,2,4,1,0.2619047619047619,8,72000
32,6,2,2,1,0.1875,6,47000
30,5,2,2,1,0.16666666666666666,6,42000
37,8,2,3,0,0.21621621621621623,7,59000
32,6,2,1,1,0.1875,5,46000
26,3,1,1,1,0.11538461538461539,3,31000
31,5,2,2,0,0.16129032258064516,6,43000
43,11,2,4,0,0.2558139534883721,8,75500
33,6,2,2,0,0.18181818181818182,6,48000
27,3,1,2,0,0.1111111111111111,4,33500
56,18,2,4,1,0.32142857142857145,8,106000
23,1,0,0,0,0.043478260869565216,0,24000
50,14,2,4,1,0.28,8,91000
51,15,2,4,0,0.29411764705882354,8,95500
27,3,1,1,0,0.1111111111111111,3,32000
38,9,2,3,1,0.23684210526315788,7,62000
31,5,2,1,0,0.16129032258064516,5,44500
28,4,1,2,1,0.14285714285714285,4,35500
38,8,2,3,1,0.21052631578947367,7,61000
34,7,2,3,1,0.20588235294117646,7,53000
27,3,1,1,0,0.1111111111111111,3,33000
29,4,2,0,0,0.13793103448275862,4,38000
48,14,2,4,1,0.2916666666666667,8,87000
49,14,2,4,0,0.2857142857142857,8,89000
41,10,2,4,0,0.24390243902439024,8,69000
42,11,2,4,1,0.2619047619047619,8,73000
47,13,2,4,0,0.2765957446808511,8,84000
46,13,2,4,1,0.2826086956521739,8,82000
35,7,2,3,0,0.2,7,54000
46,12,2,4,1,0.2608695652173913,8,81000
25,2,1,0,0,0.08,2,28000
39,9,2,4,0,0.23076923076923078,8,64000
31,5,2,2,0,0.16129032258064516,6,44000
30,4,2,1,1,0.13333333333333333,5,40000
39,9,2,4,0,0.23076923076923078,8,65500
28,3,1,2,1,0.10714285714285714,4,34000
41,10,2,4,0,0.24390243902439024,8,70500
29,4,2,0,0,0.13793103448275862,4,39000
53,16,2,4,0,0.3018867924528302,8,100000
49,14,2,4,0,0.2857142857142857,8,90000
60,20,2,4,1,0.3333333333333333,8,114000
47,13,2,4,0,0.2765957446808511,8,85000
36,8,2,3,1,0.2222222222222222,7,57000
43,11,2,4,0,0.2558139534883721,8,75000
28,4,2,0,1,0.14285714285714285,4,37000
39,9,2,4,0,0.23076923076923078,8,65000
29,4,2,1,0,0.13793103448275862,5,39500
23,1,0,1,0,0.043478260869565216,1,24500
58,19,2,4,1,0.3275862068965517,8,110000
40,10,2,4,1,0.25,8,68000
34,7,2,2,1,0.20588235294117646,6,51500
51,15,2,4,0,0.29411764705882354,8,95000
41,10,2,4,0,0.24390243902439024,8,70000
47,13,2,4,0,0.2765957446808511,8,85500
50,15,2,4,1,0.3,8,92000
37,8,2,4,0,0.21621621621621623,8,60500
25,2,1,0,0,0.08,2,29000
55,17,2,4,0,0.3090909090909091,8,104000
52,16,2,4,1,0.3076923076923077,8,97000
25,2,1,1,0,0.08,3,29500
45,12,2,4,0,0.26666666666666666,8,80500
30,5,2,1,1,0.16666666666666666,5,41000
51,15,2,4,0,0.29411764705882354,8,94000
23,1,0,0,1,0.043478260869565216,0,23500
45,12,2,4,0,0.26666666666666666,8,80000
43,11,2,4,0,0.2558139534883721,8,74000
24,1,0,1,0,0.041666666666666664,1,25000
45,12,2,4,0,0.26666666666666666,8,79000
49,14,2,4,0,0.2857142857142857,8,90500
52,16,2,4,1,0.3076923076923077,8,98000
36,8,2,3,1,0.2222222222222222,7,58000
48,14,2,4,1,0.2916666666666667,8,88000
44,12,2,4,1,0.2727272727272727,8,78000
42,10,2,4,1,0.23809523809523808,8,71000
22,0,0,0,1,0.0,0,21500
33,6,2,2,0,0.18181818181818182,6,49500
36,7,2,3,1,0.19444444444444445,7,56000
54,17,2,4,1,0.3148148148148148,8,102000
44,12,2,4,1,0.2727272727272727,8,77000
