Age,YearsExperience,EducationLevel,JobRole,Gender,Salary
22,0,0,0,0,22000
23,1,0,0,1,23500
24,1,0,1,0,25000
25,2,1,0,0,28000
26,2,1,1,1,30000
27,3,1,1,0,32000
28,3,1,2,1,34000
29,4,2,0,0,38000
30,4,2,1,1,40000
31,5,2,2,0,43000
32,5,2,1,1,45000
33,6,2,2,0,48000
34,6,2,2,1,50000
35,7,2,3,0,54000
36,7,2,3,1,56000
37,8,2,3,0,59000
38,8,2,3,1,61000
39,9,2,4,0,64000
40,9,2,4,1,66000
41,10,2,4,0,69000
42,10,2,4,1,71000
43,11,2,4,0,74000
44,11,2,4,1,76000
45,12,2,4,0,79000
46,12,2,4,1,81000
47,13,2,4,0,84000
48,13,2,4,1,86000
49,14,2,4,0,89000
50,14,2,4,1,91000
51,15,2,4,0,94000
23,1,0,0,0,24000
24,2,0,1,1,26000
25,2,1,0,0,29000
26,3,1,1,1,31000
27,3,1,1,0,33000
28,4,1,2,1,35500
29,4,2,0,0,39000
30,5,2,1,1,41000
31,5,2,2,0,44000
32,6,2,1,1,46000
33,6,2,2,0,49000
34,7,2,2,1,51500
35,7,2,3,0,55000
36,8,2,3,1,57000
37,8,2,3,0,60000
38,9,2,3,1,62000
39,9,2,4,0,65000
40,10,2,4,1,67000
41,10,2,4,0,70000
42,11,2,4,1,72000
43,11,2,4,0,75000
44,12,2,4,1,77000
45,12,2,4,0,80000
46,13,2,4,1,82000
47,13,2,4,0,85000
48,14,2,4,1,87000
49,14,2,4,0,90000
50,15,2,4,1,92000
51,15,2,4,0,95000
52,16,2,4,1,97000
22,0,0,0,1,21500
23,1,0,1,0,24500
24,2,1,0,1,27000
25,2,1,1,0,29500
26,3,1,1,1,31500
27,3,1,2,0,33500
28,4,2,0,1,37000
29,4,2,1,0,39500
30,5,2,2,1,42000
31,5,2,1,0,44500
32,6,2,2,1,47000
33,6,2,2,0,49500
34,7,2,3,1,53000
35,7,2,3,0,55500
36,8,2,3,1,58000
37,8,2,4,0,60500
38,9,2,4,1,63000
39,9,2,4,0,65500
40,10,2,4,1,68000
41,10,2,4,0,70500
42,11,2,4,1,73000
43,11,2,4,0,75500
44,12,2,4,1,78000
45,12,2,4,0,80500
46,13,2,4,1,83000
47,13,2,4,0,85500
48,14,2,4,1,88000
49,14,2,4,0,90500
50,15,2,4,1,93000
51,15,2,4,0,95500
52,16,2,4,1,98000
53,16,2,4,0,100000
54,17,2,4,1,102000
55,17,2,4,0,104000
56,18,2,4,1,106000
57,18,2,4,0,108000
58,19,2,4,1,110000
59,19,2,4,0,112000
60,20,2,4,1,114000
65,25,2,4,0,125000
66,26,2,4,1,128000
67,27,2,4,0,131000
28,3,0,0,1,24500
29,4,1,1,0,33000
